NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
1,"ALFALFA SEEDS,SPROUTED,RAW",92.82,23,3.99,0.69,0.4,2.1,1.9,0.2,32,0.96,27,70,79,6,0.92,0.157,0.188,0.6,8.2,0.076,0.126,0.481,0.563,0.034,36,0,36,36,14.4,0,155,8,0,6,87,6,0,0,0.02,0,0,30.5,0.069,0.056,0.409,0
2,"AMARANTH LEAVES,RAW",91.69,23,2.46,0.33,1.5,4.02,,,215,2.32,55,50,611,20,0.9,0.162,0.885,0.9,43.3,0.027,0.158,0.658,0.064,0.192,85,0,85,85,,0,2917,146,0,,,,,,,0,0,1140,0.091,0.076,0.147,0
3,"AMARANTH LEAVES,CKD,BLD,DRND,WO/SALT",91.49,21,2.11,0.18,2.11,4.11,,,209,2.26,55,72,641,21,0.88,0.158,0.861,0.9,41.1,0.02,0.134,0.559,0.062,0.177,57,0,57,57,,0,2770,139,0,,,,,,,0,0,,0.05,0.041,0.08,0
4,"ARROWHEAD,RAW",72.48,99,5.33,0.29,1.67,20.23,,,10,2.57,51,174,922,22,0.28,0.171,0.36,0.7,1.1,0.17,0.073,1.65,0.599,0.26,14,0,14,14,,0,0,0,0,,,,,,,0,0,,,,,0
5,"ARROWHEAD,CKD,BLD,DRND,WO/SALT",77.08,78,4.49,0.1,2.19,16.14,,,7,1.21,49,197,881,18,0.22,0.135,0.285,0.6,0.3,0.144,0.06,1.16,0.449,0.206,9,0,9,9,,0,0,0,0,,,,,,,0,0,,,,,0
6,"ARTICHOKES,(GLOBE OR FRENCH),RAW",84.94,47,3.27,0.15,1.13,10.51,5.4,0.99,44,1.28,60,90,370,94,0.49,0.231,0.256,0.2,11.7,0.072,0.066,1.046,0.338,0.116,68,0,68,68,34.4,0,13,1,0,0,8,0,0,464,0.19,0,0,14.8,0.036,0.005,0.064,0
7,"ARTICHOKES,(GLOBE OR FRENCH),CKD,BLD,DRND,WO/SALT",84.08,53,2.89,0.34,0.74,11.95,5.7,0.99,21,0.61,42,73,286,60,0.4,0.127,0.225,0.2,7.4,0.05,0.089,1.11,0.24,0.081,89,0,89,89,34.4,0,13,1,0,0,8,0,0,464,0.19,0,0,14.8,0.079,0.011,0.145,0
8,"ARTICHOKES,(GLOBE OR FRENCH),FRZ,UNPREP",88.59,38,2.63,0.43,0.6,7.75,3.9,,19,0.5,27,58,248,47,0.32,0.054,0.243,0.2,5.3,0.058,0.14,0.86,0.188,0.082,126,0,126,126,,0,154,8,0,,,,,,,0,0,,0.099,0.012,0.179,0
9,"ARTICHOKES,(GLOBE OR FRENCH),FRZ,CKD,BLD,DRND,WO/SALT",86.5,45,3.11,0.5,0.71,9.18,4.6,0.84,21,0.56,31,61,264,53,0.36,0.061,0.273,0.2,5,0.062,0.158,0.915,0.2,0.087,119,0,119,119,29.2,0,11,1,0,0,7,0,0,394,0.16,0,0,12.6,0.119,0.015,0.216,0
10,"ASPARAGUS,RAW",93.22,20,2.2,0.12,0.58,3.88,2.1,1.88,24,2.14,14,52,202,2,0.54,0.189,0.158,2.3,5.6,0.143,0.141,0.978,0.274,0.091,52,0,52,52,16,0,756,38,0,9,449,0,0,710,1.13,0,0,41.6,0.04,0,0.05,0
